target_1,y_test_1,predicted_1,target_2,y_test_2,predicted_2,target_3,y_test_3,predicted_3,target_4,y_test_4,predicted_4,target_5,y_test_5,predicted_5,target_6,y_test_6,predicted_6,target_7,y_test_7,predicted_7
7.385,7.385,6.298338,7.462,7.4620004,6.415262,7.321,7.3210006,6.041151,7.311,7.311,6.8546376,7.774,7.7740006,7.1696677,7.748,7.7480006,6.531129,8.254,8.254001,6.4253473
6.829,6.8290005,6.2315955,6.796,6.7959995,6.4032903,6.764,6.764,6.2604647,6.728,6.727999,6.6726155,7.445,7.445001,6.810875,7.578,7.5780005,6.718421,8.073,8.073,6.2499766
6.572,6.5719995,6.3627295,6.639,6.639,6.580187,6.579,6.579,6.121354,6.56,6.5600004,7.131082,7.195,7.1950006,7.179506,7.31,7.31,6.9131455,7.812,7.8120003,6.6430683
6.759,6.759,6.1928945,6.766,6.765999,6.807066,6.707,6.7069993,6.2297,6.69,6.6899996,7.4726706,7.19,7.1900005,7.585605,7.285,7.285,6.9417377,7.74,7.74,6.9014792
6.587,6.587,6.2780476,6.622,6.622,6.6460276,6.585,6.585,6.437266,6.541,6.541,7.4487042,6.944,6.944,7.389748,7.083,7.0830007,6.8485427,7.594,7.594,6.7370853
6.401,6.4009995,5.936302,6.412,6.4119997,6.267805,6.406,6.406,5.843082,6.387,6.387,7.075843,7.01,7.01,7.0604935,7.063,7.063001,6.065737,7.58,7.58,6.423539
6.614,6.614,5.3355985,6.629,6.6289997,5.9116087,6.607,6.607,5.51059,6.552,6.552,6.541627,7.072,7.0720005,6.7058897,7.181,7.181,5.1878033,7.597,7.5970006,6.000388
4.574,4.574,4.667475,4.607,4.607,5.1633396,4.696,4.696,4.9018373,4.626,4.6259995,5.832706,5.494,5.494,5.8976383,5.698,5.698,4.6469584,6.602,6.602,5.194073
5.342,5.342,4.9453216,5.38,5.38,5.4237294,5.433,5.433,4.964965,5.435,5.435,6.032536,5.839,5.839,6.2284393,5.962,5.962,4.7653522,6.709,6.709,5.4465756
4.981,4.981,5.0718174,4.973,4.973,5.5016527,5.077,5.077,5.170307,5.069,5.069,5.871706,5.645,5.645,6.081525,5.869,5.869,5.102917,6.641,6.641,5.3659854
5.952,5.952,5.0646772,6.006,6.006,5.434024,5.966,5.966,5.0139766,5.962,5.962,5.851036,6.542,6.542,6.0267916,6.686,6.686,5.0860906,7.17,7.17,5.2860346
6.03,6.03,4.7866235,6.035,6.0349994,5.510919,6.04,6.0399995,4.9931164,6.033,6.0330005,5.7942924,6.587,6.587,6.0657716,6.648,6.6480002,5.1307573,7.233,7.233,5.420104
6.104,6.1040006,5.137274,6.076,6.0760007,5.6588974,6.11,6.11,5.3547745,6.04,6.04,5.8013716,6.577,6.577,5.9721494,6.69,6.6900005,5.3742113,7.33,7.33,5.453329
6.982,6.982,5.9629216,6.955,6.9550004,6.2115374,6.816,6.8159995,5.5773354,6.8,6.8,6.3768945,7.494,7.494,6.623299,7.633,7.633,5.824851,8.046,8.046,6.1980844
8.299,8.299,6.996403,8.405,8.405,7.900558,8.188,8.188,7.123819,8.307,8.307,8.30729,8.847,8.847,8.263042,8.903,8.903,7.2446737,9.409,9.409,7.6380434
16.026,16.026,10.618953,16.479,16.479,10.4011965,16.74,16.74,9.4645195,16.46,16.46,9.961031,18.084,18.084,10.722198,19.561,19.561,10.219951,18.02,18.019999,10.612804
16.263,16.263,9.996704,15.605,15.6050005,9.65083,16.382,16.382002,8.540191,16.283,16.283,9.637662,13.38,13.38,10.270876,14.688,14.688,9.579781,14.785,14.785,10.182471
12.904,12.904,8.752198,12.873,12.873,8.749564,12.959,12.959001,8.122724,12.877,12.877,8.862846,11.915,11.915,9.274102,12.482,12.482,8.681066,13.183,13.183,9.038377
9.954,9.954,7.7429504,9.952,9.952001,7.979266,9.806,9.806002,7.4691834,9.881,9.881,8.321683,9.814,9.814,8.381092,9.869,9.869001,7.766472,10.407,10.407,8.077196
8.28,8.279999,7.1167645,8.308,8.307999,7.3675146,8.346,8.346,6.886826,8.296,8.296,7.6583276,8.198,8.198001,7.8427215,8.378,8.378001,7.3345013,8.722,8.722,7.5127783
7.467,7.4669995,6.7272143,7.481,7.4809995,7.232363,7.484,7.4839993,7.007645,7.42,7.4200006,7.440305,7.87,7.8700004,7.3157644,8.059,8.059,6.9405994,8.563,8.563001,7.291507
7.487,7.4870005,6.8622265,7.536,7.5360003,7.199686,7.509,7.509,6.61404,7.464,7.4639997,7.480135,7.971,7.971,7.397719,7.942,7.942,7.001659,8.571,8.571,7.2647166
7.305,7.305,6.544285,7.31,7.31,7.3098826,7.366,7.3659997,6.738679,7.289,7.2890005,7.739963,7.661,7.6610003,7.6926584,7.654,7.6539993,6.926528,8.369,8.369,7.39125
7.119,7.119001,6.157764,7.094,7.0939994,6.9594016,7.201,7.2010007,6.436065,7.174,7.174,7.517969,7.497,7.497,7.27786,7.47,7.469999,6.6942334,8.268,8.268,6.934136
6.425,6.425,5.576448,6.417,6.417,6.3284807,6.518,6.518,5.7911434,6.488,6.488,6.9364576,6.629,6.629,6.785687,6.973,6.9729996,6.0053706,7.751,7.7510004,6.267172
5.882,5.8820004,5.319267,5.88,5.8799996,6.0523067,5.974,5.974,5.725851,5.974,5.974,6.5943394,6.561,6.561,6.7817826,6.685,6.6850004,5.547964,7.277,7.277,6.042868
6.382,6.382001,5.9318886,6.366,6.366,6.28444,6.504,6.504,5.8713207,6.401,6.4009995,6.901315,6.848,6.848,7.038102,6.854,6.853999,5.8531075,7.672,7.6720004,6.422523
6.802,6.8020005,6.107967,6.898,6.8980002,6.54931,6.846,6.8459997,5.995793,6.808,6.808,6.9395337,7.203,7.2030005,7.306133,7.338,7.338,6.100921,7.951,7.951,6.7263455
6.932,6.932,5.9075813,6.914,6.914,6.671711,6.883,6.883,6.2718983,6.881,6.881,7.1452746,7.263,7.2630005,7.2824807,7.355,7.3550005,6.174646,7.881,7.881001,6.759875
6.944,6.9440002,6.271538,6.998,6.997999,6.4579687,6.99,6.99,5.9994874,7.018,7.017999,7.003455,7.187,7.1870008,7.2310405,7.239,7.2390003,6.0414605,7.721,7.7210007,6.6468897
7.015,7.015,6.54919,7.003,7.0029993,6.764617,6.941,6.941,6.4437065,6.965,6.964999,7.154157,7.344,7.3440003,7.5987067,7.327,7.3269997,6.5394764,8.037,8.037,6.9675965
